Designator,Mid X,Mid Y,Rotation,Layer
C1,178.841401,-101.7937,0.0,top
C10,157.112,-80.0608,0.0,top
C11,157.099,-78.4606,0.0,top
C13,151.434363,-81.019383,270.0,top
C14,153.162,-89.3572,270.0,top
C15,148.86601,-81.776423,180.0,top
C16,156.337,-84.0232,90.0,top
C17,157.8864,-84.0232,90.0,top
C18,159.4866,-82.4992,90.0,top
C19,159.486599,-85.6234,270.0,top
C2,164.0078,-70.0278,0.0,top
C20,157.098999,-86.446684,0.0,top
C21,157.9372,-90.3986,270.0,top
C22,160.2232,-88.0364,0.0,top
C23,156.337,-90.3986,270.0,top
C24,160.2994,-89.6874,0.0,top
C25,157.099,-88.0364,0.0,top
C26,154.7368,-89.4334,270.0,top
C27,154.051,-91.821,0.0,top
C28,150.8506,-92.4306,180.0,top
C3,157.5588,-76.4909,180.0,top
C30,176.3776,-80.2386,180.0,top
C31,188.0616,-77.6762,90.0,top
C32,186.2074,-78.0318,90.0,top
C33,178.866801,-96.942301,180.0,top
C34,178.854401,-98.5933,0.0,top
C35,170.332401,-92.040101,0.0,top
C36,174.6504,-89.677901,270.0,top
C37,173.558201,-92.040101,180.0,top
C38,185.40565,-88.135919,180.0,top
C39,185.40565,-86.23092,180.0,top
C4,184.531,-81.178,270.0,top
C40,165.4432,-85.9282,180.0,top
C41,167.9194,-86.614,270.0,top
C42,162.192346,-86.233,0.0,top
C43,225.806,-87.0712,0.0,top
C44,221.094,-88.616201,180.0,top
C45,214.8332,-92.049603,270.0,top
C46,213.232998,-92.035103,270.0,top
C47,211.658199,-92.035101,270.0,top
C48,170.5864,-78.8032,90.0,top
C49,172.2498,-76.4582,180.0,top
C5,186.2068,-81.169,270.0,top
C50,168.9354,-78.8032,90.0,top
C51,172.72,-78.8966,90.0,top
C6,178.8544,-100.193501,180.0,top
C7,178.4096,-92.9161,270.0,top
C8,178.866801,-95.3167,0.0,top
C9,157.112,-81.677246,0.0,top
D1,173.711001,-73.83134,180.0,top
D2,176.072399,-73.83134,0.0,top
D3,179.9266,-72.0737,0.0,top
D5,164.533069,-88.298988,0.0,top
D6,148.8554,-66.599399,90.0,top
D7,228.7016,-79.4536,270.0,top
D8,149.9828,-66.6069,90.0,top
J1,175.3576,-64.7444,180.0,top
J10,226.157,-101.4476,180.0,top
J11,206.2988,-101.3968,180.0,top
J2,195.1082,-99.6188,0.0,top
J3,149.098,-98.8822,0.0,top
J4,156.3584,-64.6174,180.0,top
J5,225.7618,-66.5414,0.0,top
J6,237.8456,-78.415399,90.0,top
J7,161.8742,-100.5586,0.0,top
J8,209.3214,-96.8502,180.0,bottom
L1,154.732146,-84.8106,270.0,top
L2,163.8554,-75.4612,90.0,top
L3,168.7576,-82.8548,0.0,top
Q1,181.3266,-89.7892,270.0,top
Q2,164.6036,-91.744399,90.0,top
Q3,185.5021,-93.177399,90.0,top
Q4,185.4938,-97.1317,90.0,top
Q5,185.4786,-101.0993,90.0,top
Q6,181.5846,-81.156,0.0,top
Q7,181.582301,-84.7628,0.0,top
R1,173.1194,-72.3951,180.0,top
R10,151.3332,-90.997713,0.0,top
R11,147.467376,-87.457662,315.0,top
R12,147.111774,-89.37271,45.0,top
R15,158.369,-74.93,180.0,top
R16,176.2506,-102.0985,0.0,top
R17,182.313501,-99.677099,0.0,top
R18,182.290101,-95.917899,0.0,top
R19,167.487601,-94.2848,0.0,top
R2,177.2322,-72.4039,0.0,top
R20,167.4622,-97.7392,0.0,top
R21,167.487601,-96.078701,0.0,top
R22,167.9448,-100.1935,90.0,top
R23,182.2901,-94.470099,0.0,top
